ActualName,DestinationLookUp
Rythu Bazaar,Rythu Bazaar
Sabbavaram Register Office,Sabbavaram Register Office
Sabbavaram RTC Complex,Sabbavaram RTC Complex
Sagar Nagar,Sagar Nagar
Sagar Nagar (Local),Sagar Nagar
Sairam Colony (Kommadi),Sairam Colony (Kommadi)
Salagramapuram (Port Quarters),Salagramapuram (Port Quarters)
Salagramapuram (Santhi Nagar),Salagramapuram (Santhi Nagar)
Salapuvanipalem ,Salapuvanipalem 
Sampath Vinayaka Temple,Sampath Vinayaka Temple
Sampath Vinayaka Temple,Asilmetta Junction
Sangam Office ,Sangam Office 
Sanghivalasa Colony ,Sanghivalasa Colony 
Sanjeev Colony,Sanjeev Colony
Sanjiva Metta,Sanjiva Metta
Sankaram,Sankaram
Sankaram (Anakapalle),Sankaram (Anakapalle)
Sankaram (Madugula),Sankaram (Madugula)
Santapalem,Santapalem
Saraswati Park ,Saraswati Park 
Saripalli,Saripalli
Satyam Junction,Satyam Junction
Satyanagar ,Satyanagar 
Savaravilli,Savaravilli
Scindia,Scindia
Scindia Junction,Scindia Junction
Scindia New Colony,Scindia New Colony
Scindia Junction,Scindia
Scindia New Colony,Scindia
Sector K,Sector K
Seetanagaram,Seetanagaram
Seethammadara NE ,Seethammadhara
Seethammadhara,Seethammadhara
Seethammadhara (Towards Satyam Computers),Seethammadhara
Seethammadhara (Towards Venkojipalem),Seethammadhara
Seethammapeta,Seethammapeta
Seethayyapeta ,Seethayyapeta 
Sheela Nagar Bus Shelter,Sheela Nagar
Sheela Nagar Bus Shelter (local),Sheela Nagar
Simhachalam - RTC Complex,Simhachalam - RTC Complex
Simhachalam Devasthanam Bus Depot,Simhachalam Devasthanam Bus Depot
Simhachalam Dhevasthanam Ghoshala,Simhachalam Dhevasthanam Ghoshala
Simhachalam Hill Curve,Simhachalam Hill Curve
Simhachalam Hills,Simhachalam Hills
Simhachalam Hospital,Simhachalam Hospital
Simhadri (Donkada),Simhadri (Donkada)
simhapuri Colony,simhapuri Colony
Singannadorapalem,Singannadorapalem
Singavaram,Singavaram
Sirasapalli,Sirasapalli
Siripuram ,Siripuram 
Sirlapalem,Sirlapalem
Sirlapalem (Kovvudu - Maddi Road),Sirlapalem (Kovvudu - Maddi Road)
Sontyam,Sontyam
Sontyam,Mamidilova
Mamidilova,Sontyam
Sontyam X Roads,Sontyam X Roads
Sramasakthi Nagar ,Sramasakthi Nagar 
Sri Nagar Street ,Sri Nagar Street 
Sriharipuram,Sriharipuram
SrikanakaMahalaxmi ,SrikanakaMahalaxmi 
Srinagar ,Srinagar 
Srinivasa Nagar (Simhachalam),Srinivasa Nagar (Simhachalam)
SRMT,SRMT
St Joseph,St Joseph
St. Joseph College,St. Joseph College
Steel Plant Twp - CPS,Steel Plant Twp - CPS
Steel Plant Twp - DAV Public School,Steel Plant Twp - DAV Public School
Steel Plant Twp - Hospital,Steel Plant Twp - Hospital
Steel Plant Twp - Indhira Gandhi Park ,Steel Plant Twp - Indhira Gandhi Park 
Steel Plant Twp - Kanithi Road,Steel Plant Twp - Kanithi Road
Steel Plant Twp - Main Gate,Steel Plant Twp - Main Gate
Steel Plant Twp - Market ,Steel Plant Twp - Market 
Steel Plant Twp - Sector 1 ,Steel Plant Twp - Sector 1 
Steel Plant Twp - Sector 11 ,Steel Plant Twp - Sector 11 
Steel Plant Twp - Sector 12,Steel Plant Twp - Sector 12
Steel Plant Twp - Sector 3 ,Steel Plant Twp - Sector 3 
Steel Plant Twp - Sector 5 ,Steel Plant Twp - Sector 5 
Steel Plant Twp - Sector 6 ,Steel Plant Twp - Sector 6 
Steel Plant Twp - Sector 8 ,Steel Plant Twp - Sector 8 
Steel Plant Twp - Sector 9 ,Steel Plant Twp - Sector 9 
Steel Plant Twp - SriChaitanya Jr. College,Steel Plant Twp - SriChaitanya Jr. College
Steel Plant Twp - T & DC ,Steel Plant Twp - T & DC 
Steel Plant Twp - Ukkunagaram ,Steel Plant Twp - Ukkunagaram 
Sujatha Nagar ,Sujatha Nagar 
Sujatha Nagar (Purushotham Bus Stop),Sujatha Nagar (Purushotham Bus Stop)
Sundar Nagar,Sundar Nagar
Sundarayya Colony Bus Terminal,Sundarayya Colony Bus Terminal
Surireddipalem,Surireddipalem
SVLNS Government Stop,SVLNS Government Stop
Swarna Bharathi Indoor Stadium,Swarna Bharathi Indoor Stadium
Swatantra Nagar,Swatantra Nagar
Swayambuvaram,Swayambuvaram
Tagarapuvalasa (Near Tata Theatre),Tagarapuvalasa (Near Tata Theatre)
Tagarapuvalasa Highway,Tagarapuvalasa Highway
Tagarapuvalasa RTC Complex,Tagarapuvalasa RTC Complex
Tagarapuvalasa (Near Tata Theatre),Tagarapuvalasa
Tagarapuvalasa Highway,Tagarapuvalasa
Tagarapuvalasa RTC Complex,Tagarapuvalasa
Tallapalem,Tallapalem
Tallavalasa,Tallavalasa
Tallavalasa NH16 Connecting Road (Degree College Stop),Tallavalasa NH16 Connecting Road (Degree College Stop)
Tarakarama ,Tarakarama 
Tarluwada,Tarluwada
Tavvavanipalem,Tavvavanipalem
Temapuram Bus Station,Temapuram Bus Station
Tenneti Nagar (48A Bus Stop),Tenneti Nagar (48A Bus Stop)
Tenneti Park (On Request),Tenneti Park (On Request)
Thanam,Thanam
Thanam Junction,Thanam
Thatichetlapalem,Thatichetlapalem
Thatichetlapalem (Boyapalem),Thatichetlapalem
Thotagaruvu,Thotagaruvu
Thummapala ,Thummapala 
Tikkavanipalem,Tikkavanipalem
Timmapuram,Timmapuram
Timmarajupeta,Timmarajupeta
Town Kotharoad,Town Kotharoad
Town Kotharoad Junction,Town Kotharoad
Tummikapalli Gate,Tummikapalli Gate
Tungalam ,Tungalam 
Tunivalasa ,Tunivalasa 
Two Town (Women's College),Two Town (Women's College)
Tyda ,Tyda 
Uppada,Uppada
Urvasi NH ,Urvasi
Urvasi Theatre,Urvasi
Ushodaya Junction,Ushodaya Junction
VadaCheepurupalli West,VadaCheepurupalli West
Vaddadi,Vaddadi
Vaddimetta ,Vaddimetta 
Vadlapudi Junction,Vadlapudi
Vadlapudi Railway Quarters,Vadlapudi
Vadlapudi Towards Kurmannapalem,Vadlapudi
Valandapeta ,Valandapeta 
