ActualName,DestinationLookUp
Yarada Old Bus Stop,Yarada Old Bus Stop
Yarada Village,Yarada Village
Yeduruvada,Yeduruvada
Yellamanchili ,Yellamanchili 
Yerravanipalem,Yerravanipalem
Z Junction towards Karnavanipalem,Z Junction towards Karnavanipalem
Zilla Parishad Bus Station,Zilla Parishad Bus Station
Zoo Park (Back Gate),Zoo Park
Zoo Park (Front Gate),Zoo Park
Zoo Park (Front Gate),Kambalkonda
Chandrampalem ZP High School,Madhurwada
ITI Junction,Industrial Estate
Pinagadi Junction,Rampuram Road
Old Bus Stand (Venkannapalem),Venkannapalem
Fifth Town Police Station ,Satyanagar 
Purna Theatre,Chodavaram
Chinnayyapalem,Pataroad
Lawsons Bay (Towards Vuda Park),Vasavanipalem
GVMC,Vizag - RTC Complex
Jammi Devara Peta,Nallabilli
Kuruvada,Koruvada
Ramnagar,Lions Club
Nookalamma Temple ,Rythu Bazaar
Adarsh Nagar,Old Dairy Farm
Chinnamushudiwada,Savitri Nagar
Chinnamushudiwada,Vuda Colony (Near Chinnamushudiwada)
Nallabilli,Jammi Devara Peta
Koruvada,Kuruvada
Lions Club,Ramnagar
Rythu Bazaar,Nookalamma Temple 
Old Dairy Farm,Adarsh Nagar
Savitri Nagar,Chinnamushudiwada
Vuda Colony (Near Chinnamushudiwada),Chinnamushudiwada
