ACTUALNAME,DESTINATIONLOOKUP
ISLAMPETA,ISLAMPETA
ISUKATHOTA,ISUKATHOTA
IT PARK,IT PARK
ITI JUNCTION,INDUSTRIAL ESTATE
ITI JUNCTION,ITI JUNCTION
J K LAYOUT,J K LAYOUT
JAGADAMBA,JAGADAMBA
JAIL ROAD,JAIL ROAD
JAIL ROAD JUNCTION,JAIL ROAD
JAJULAVANIPALEM,JAJULAVANIPALEM
JAMMI DEVARA PETA,NALLABILLI
JAMMI DEVARA PETA,JAMMI DEVARA PETA
JANATHA COLONY,JANATHA COLONY
JANGALA PALEM,JANGALA PALEM
JANGALAPALEM NEAR GOTIVADA,JANGALAPALEM NEAR GOTIVADA
JANGALAPALLI,JANGALAPALLI
JEERUPETA RAYAPALEM POST,JEERUPETA RAYAPALEM POST
JERRIPOTHULAPALEM,JERRIPOTHULAPALEM
JODUGULLA PALEM,JODUGULLA PALEM
JONNADA,JONNADA
JUDGE COURT,JUDGE COURT
K CHANDRAYYAPETA,K CHANDRAYYAPETA
K KOTAPADU,K KOTAPADU
K SANTAPALEM,K SANTAPALEM
KAILASAGIRI,KAILASAGIRI
KAILASAGIRI ROPE WAY,KAILASAGIRI
KAILASAGIRI ROPE WAY,KAILASAGIRI ROPE WAY
KAILASPURAM,KAILASPURAM
KAKANI NAGAR (TOWARDS AIRPORT),KAKANI NAGAR
KAKANI NAGAR (TOWARDS NAD),KAKANI NAGAR
KAKARLOVA,KAKARLOVA
KAKATIYA ITI JUNCTION,KAKATIYA ITI JUNCTION
KALAPAKA,KALAPAKA
KALAPAKA JUNCTION,KALAPAKA
KALINGANAGAR,KALINGANAGAR
KANCHARAPALEM,KANCHARAPALEM
KANCHARAPALEM (MUTHYAMAMBA TEMPLE),KANCHARAPALEM 
KANTAKAPALLI,KANTAKAPALLI
KANTAKAPALLI RAILWAY STATION ROAD,KANTAKAPALLI
KARASA,KARASA
KARNAVANI PALEM BUSTOP 1,KARNAVANI PALEM
KARNAVANI PALEM BUSTOP 2,KARNAVANI PALEM
KASIMKOTA,KASIMKOTA
KASIPURAM,KASIPURAM
KATA,KATA
KG PENTA1,KG PENTA
KG PENTA2,KG PENTA
KGH,KGH
KGH OUT-PATIENT GATE,KGH OUT-PATIENT GATE
KHANDIVARAM VILLAGE,KHANDIVARAM VILLAGE
KOKKIRA PALLI,KOKKIRA PALLI
KOLLIVANIPALEM,KOLLIVANIPALEM
KOMMADI JUNCTION,KOMMADI JUNCTION
KOMMADI VILLAGE,KOMMADI VILLAGE
KONDAKARLA JUNCTION,KONDAKARLA JUNCTION
KONNURU,KONNURU
KOPPAKA,KOPPAKA
KORADA,KORADA
KORUVADA,KORUVADA
KOTA (PEDA NARAVA),KOTA (PEDA NARAVA)
KOTA NARAVA,KOTA NARAVA
KOTAVURATLA,KOTAVURATLA
KOTHA KOVVADA ROAD,KOTHA KOVVADA ROAD
KOTHAKOTA,KOTHAKOTA
KOTHAPATNAM,KOTHAPATNAM
KOTHAVALASA,KOTHAVALASA
KOTHAVALASA JUNCTION,KOTHAVALASA JUNCTION
